,B-BATTERY#NEGATIVE,B-BATTERY#NEUTRAL,B-BATTERY#POSITIVE,B-CAMERA#NEGATIVE,B-CAMERA#NEUTRAL,B-CAMERA#POSITIVE,B-DESIGN#NEGATIVE,B-DESIGN#NEUTRAL,B-DESIGN#POSITIVE,B-FEATURES#NEGATIVE,B-FEATURES#NEUTRAL,B-FEATURES#POSITIVE,B-GENERAL#NEGATIVE,B-GENERAL#NEUTRAL,B-GENERAL#POSITIVE,B-PERFORMANCE#NEGATIVE,B-PERFORMANCE#NEUTRAL,B-PERFORMANCE#POSITIVE,B-PRICE#NEGATIVE,B-PRICE#NEUTRAL,B-PRICE#POSITIVE,B-SCREEN#NEGATIVE,B-SCREEN#NEUTRAL,B-SCREEN#POSITIVE,B-SER&ACC#NEGATIVE,B-SER&ACC#NEUTRAL,B-SER&ACC#POSITIVE,B-STORAGE#NEGATIVE,B-STORAGE#NEUTRAL,B-STORAGE#POSITIVE,I-BATTERY#NEGATIVE,I-BATTERY#NEUTRAL,I-BATTERY#POSITIVE,I-CAMERA#NEGATIVE,I-CAMERA#NEUTRAL,I-CAMERA#POSITIVE,I-DESIGN#NEGATIVE,I-DESIGN#NEUTRAL,I-DESIGN#POSITIVE,I-FEATURES#NEGATIVE,I-FEATURES#NEUTRAL,I-FEATURES#POSITIVE,I-GENERAL#NEGATIVE,I-GENERAL#NEUTRAL,I-GENERAL#POSITIVE,I-PERFORMANCE#NEGATIVE,I-PERFORMANCE#NEUTRAL,I-PERFORMANCE#POSITIVE,I-PRICE#NEGATIVE,I-PRICE#NEUTRAL,I-PRICE#POSITIVE,I-SCREEN#NEGATIVE,I-SCREEN#NEUTRAL,I-SCREEN#POSITIVE,I-SER&ACC#NEGATIVE,I-SER&ACC#NEUTRAL,I-SER&ACC#POSITIVE,I-STORAGE#NEGATIVE,I-STORAGE#NEUTRAL,I-STORAGE#POSITIVE,O
B-BATTERY#NEGATIVE,116,0,3,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
B-BATTERY#NEUTRAL,13,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5
B-BATTERY#POSITIVE,5,0,271,0,0,1,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,2,2,17,1,0,2,0,0,1,0,0,0,0,0,11,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16
B-CAMERA#NEGATIVE,0,0,0,62,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
B-CAMERA#NEUTRAL,0,0,0,11,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
B-CAMERA#POSITIVE,0,0,0,2,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8
B-DESIGN#NEGATIVE,0,0,0,1,0,1,17,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6
B-DESIGN#NEUTRAL,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B-DESIGN#POSITIVE,0,0,0,0,0,1,0,0,149,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,9,0,1,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,9
B-FEATURES#NEGATIVE,3,0,0,0,0,0,0,0,0,150,0,3,0,0,0,6,0,2,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,29,0,0,0,0,0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,31
